Sjit_all,ct_dst_src_ltm_all,Dintpkt_ftp,sbytes_http,Sintpkt_http,dttl_smtp,Spkts_smtp,Djit_smtp,ackdat_ssh
50720385.113978,11289,14684.697363,1326028.0,282981.22586400004,6235.0,11180.0,69011.421989,0.046222
7356659.227358,9044,2167.779894,1641530.0,31774.388321,5945.0,10660.0,2732.9875509999997,0.0576459999999999
7951102.639684999,14174,5519.914595,2084325.0,36310.680352,6090.0,11084.0,2275.390762,0.047042
15117374.548017,15266,3935.8855949999993,2124976.0,40732.595638,6148.0,11224.0,2582.9409560000004,0.034381
12015471.117419,10686,3549.844075,2080608.0,40958.9319,6728.0,12041.0,5317.953341,0.026895
12217702.354109,9207,1733.674556,2397188.0,47503.068708000006,6670.0,12126.0,4792.001738,0.026619
12500396.858624998,8420,2455.057778,2357062.0,43232.120416,6438.0,11734.0,3505.9934860000003,0.582056
7448524.326609001,9097,5464.712804000001,1928657.0,42540.705419,7540.0,13504.0,6727.662304,0.012869
7149666.84827,8866,2985.7600059999995,2352544.0,48064.351413,7337.0,13390.0,4418.318495,0.0208009999999999
8499119.522101,10264,3322.5816700000005,2145838.0,48924.309174,7424.0,13562.0,4566.189049,0.0211849999999999
7357304.339470999,12534,2708.405756,2429770.0,44303.418741,6760.0,11975.0,4858.991791,0.013634
7791879.059815,11338,5062.705549,2021146.0,47548.992321,7743.0,13839.0,6327.250726,0.008988
13465121.174431998,9755,7090.8902180000005,2372230.0,46553.812399,8497.0,15236.0,8083.261975,0.030256
11361312.492483,10284,1114.985379,2061540.0,39783.843724000006,7079.0,12733.0,4708.877476,0.037982
13998436.686230998,11293,2513.9149340000004,1854902.0,42793.753069,6876.0,12458.0,3536.510265,0.009785
11984251.553229,10112,2877.517784,2264296.0,58395.476864,6989.0,12620.0,4350.879567,0.019949
9705387.956084,10258,4328.2592700000005,2022912.0,43847.361059,7531.0,13012.0,5244.177268,0.03971
14484978.149754,10362,2380.038821,1479472.0,40436.876902,7077.0,12467.0,4782.629088,0.014282
13892754.839527,12181,3532.548072,2228275.0,44223.50671,7366.0,13402.0,5160.009457,0.024527
7037700.32291,12325,564.852768,755942.0,13004.231269,2204.0,4038.0,1453.680789,0.0097069999999999
6467954.128086,11062,38.719301,10000.0,529.9407530000001,29.0,52.0,21.232564,0.000142
6405606.951143,10014,71.489586,6528.0,340.97779,29.0,52.0,147.692766,0.0003059999999999
8857879.320356,10216,89.055211,27518.0,456.058984,87.0,156.0,27.563463,0.000124
10354911.506921,9533,2145.05782,8316.0,432.50365199999993,87.0,156.0,29.567089000000003,0.021177
6897180.009468,9312,4637.927017,31048.0,647.688166,58.0,104.0,3.766646,0.0089279999999999
6616305.393803,10089,3825.056537,23526.0,298.911613,87.0,150.0,120.891364,0.0053409999999999
5890991.769127,8550,2220.376573,39534.0,1204.266358,29.0,52.0,33.383395,0.017293
7353286.48725,9383,2252.243018,12522.0,618.703611,4611.0,8268.0,3074.597341,0.013489
7048036.576622,10603,4217.344499999999,49374.0,591.2107980000001,6960.0,12418.0,6787.87283,0.0117419999999999
8012560.746403,9737,4171.660865,1561956.0,26542.726794,6786.0,12082.0,4776.882257,0.031803
7129625.927343,9256,2092.067155,1975989.0,42463.657501,6380.0,11440.0,4202.8746790000005,0.038276
6676186.663706999,13444,1936.745171,1816906.0,35767.25116,7888.0,14144.0,5827.574349,0.031928
5595082.60072,16390,1992.750396,2002838.0,37935.094415,7864.0,13722.0,9148.526406,0.025844
6567054.060807001,12848,5519.248888,2302938.0,44816.754279,7743.0,13856.0,5313.309999,0.021346
8177677.656064,9621,2724.8586660000005,2293267.0,52346.03006999999,6757.0,12116.0,3819.705113,0.003474
8466439.586233,9117,8028.424262,2457960.0,47588.44265,6670.0,11918.0,3461.983247,0.019087
6329078.231322,8333,3124.263414,1481168.0,38201.920366000006,6239.0,10995.0,3844.652759,0.030223
6301850.60893,8457,1539.8278799999998,1813090.0,39296.220945,7803.0,13697.0,8445.186954,0.059955
6618911.966236,9151,7408.65175,1718640.0,39933.004307,7077.0,12660.0,4074.100619,0.056223
8087626.419453001,8712,3589.788214,1458620.0,36276.084904,7338.0,13089.0,4453.259412,0.014512
7727429.426092999,8589,3562.81986,2061994.0,43467.480163,8034.0,14306.0,7438.749997,0.020593
8432111.029912,8837,2251.074626,1922482.0,42251.090179000006,7454.0,13327.0,4372.01615,0.03795
7320935.627682,8701,3926.542544,2042468.0,46395.85890000001,6960.0,12480.0,3565.8295750000007,0.039826
